,30HAJ17CT003,30HAJ17CT001,30HAJ17CT002,30HAJ17CT012,30HAJ17CT010,30HAJ17CT011,30HAJ17CT006,30HAJ17CT004,30HAJ17CT005,30HAJ17CT015,30HAJ17CT013,30HAJ17CT014,30HAJ17CT007,30HAJ17CT008,30HAJ17CT009,30HAJ17CT016,30HAJ17CT017,30HAJ17CT018
Tue Apr 05 07:16:53  2016,636.4142,555.9875,563.8577,591.9084,542.8125,550.5388,614.001,546.8303,534.6682,583.0718,529.9342,533.798,509.0007,556.5159,514.7287,505.6396,551.1662,520.686
Tue Apr 05 07:31:53  2016,618.738,562.9991,570.8704,611.6935,567.9963,575.5826,598.9418,549.1196,538.2454,600.2644,543.2418,553.5435,509.1439,550.7926,516.0173,516.0938,551.1662,522.5469
Tue Apr 05 07:48:34  2016,681.1034,592.0633,600.3753,622.8909,583.171,593.6277,642.6022,575.2638,561.9974,606.2865,557.693,563.2737,530.2871,573.0726,527.9973,527.6884,559.6523,533.8971
Tue Apr 05 08:02:13  2016,701.7701,610.06905,620.98495,658.923,612.1832,620.5795,660.93395,592.3367,579.0364,630.8726,579.91055,589.2995,543.7592,589.56955,542.97205,546.00395,578.3376,548.92115
Tue Apr 05 08:17:13  2016,722.4368,628.0748,641.5946,694.9551,641.1954,647.5313,679.2657,609.4096,596.0754,655.4587,602.1281,615.3253,557.2313,606.0665,557.9468,564.3195,597.0229,563.9452
Tue Apr 05 08:32:14  2016,727.3586,631.956,645.4821,701.7831,643.3547,652.4308,687.5233,614.9615,602.239,666.5727,610.4464,621.7861,567.2484,618.8375,571.399,576.1992,612.2233,578.6882
Tue Apr 05 08:47:53  2016,733.8392,653.5515,667.8403,715.4671,665.9949,679.7328,694.4868,637.8529,625.4883,678.1404,632.9951,647.0991,588.4378,639.2476,596.8912,599.4044,633.4818,600.0329
Tue Apr 05 09:01:53  2016,733.9856,656.7685,679.0206,726.5598,680.0223,696.262,694.0959,649.948,627.2568,689.1512,642.347,657.1896,594.1685,646.0139,608.7917,609.729,641.8265,610.3581
Tue Apr 05 09:16:34  2016,690.7584,657.3455,671.7872,725.683,707.4559,721.448,668.0292,641.4949,630.4188,684.0778,657.6224,682.1945,595.2156,635.2635,609.553,621.7861,652.1981,627.3005
Tue Apr 05 09:31:34  2016,738.5707,679.7445,694.5314,708.4747,709.2026,738.2659,713.147,662.2521,649.8482,684.8022,671.6309,688.4261,612.4225,663.6514,631.8122,631.5573,655.8027,648.4511
Tue Apr 05 09:47:33  2016,741.3558,682.3511,705.576,735.6292,743.5439,793.4387,723.942,687.5679,663.8402,720.4711,707.0193,726.852,629.9434,684.1898,666.54,665.0282,686.1624,684.858
Tue Apr 05 10:01:34  2016,789.2928,682.0614,706.3035,765.5063,695.5359,715.1755,763.7034,683.9446,675.1135,752.1066,688.9056,694.7094,631.6684,716.6005,689.4083,646.1351,702.3199,689.8317
Tue Apr 05 10:16:34  2016,804.7601,686.4082,711.8358,788.5845,730.9908,765.3588,782.0275,686.1183,680.7581,762.5575,736.26,735.967,637.8529,736.7676,707.714,678.4744,709.0123,709.1579
Tue Apr 05 10:31:33  2016,752.3673,716.2079,799.101,818.2323,759.0217,816.2881,741.7957,739.3035,757.2217,798.5396,804.0488,781.6167,699.2795,734.864,743.5107,736.6993,737.6348,748.9303
Tue Apr 05 10:47:34  2016,836.9469,689.743,724.2341,815.6901,764.9617,846.3637,816.5532,688.2928,713.147,790.1143,816.7367,760.7892,655.5703,773.4004,749.5298,731.3284,728.0213,731.2384
Tue Apr 05 10:47:54  2016,836.9469,687.4229,723.942,811.9548,763.4872,845.1577,817.301,686.5532,715.1874,786.4049,820.0279,762.7048,656.003,773.8438,751.7341,733.816,725.9752,729.9221
Tue Apr 05 11:01:54  2016,853.8305,748.2529,855.2373,797.544,773.0814,849.9845,824.9825,765.9155,847.0835,788.3334,827.7153,784.6258,752.7632,772.5137,771.3318,743.194,727.7289,743.3972
Tue Apr 05 11:16:54  2016,867.5037,720.584,794.0908,823.0687,784.0329,857.6912,832.7847,732.7584,804.955,808.6136,822.3198,784.1811,720.0004,779.3622,769.0144,741.3325,741.389,748.433
Tue Apr 05 11:31:54  2016,784.8887,654.5052,678.1967,777.8588,655.0149,668.0062,763.7487,673.8561,666.3399,763.3851,657.1783,666.2726,627.2568,719.7085,692.0641,623.9294,719.3038,696.4518
Tue Apr 05 11:48:54  2016,788.0029,660.5643,680.5574,770.6152,685.8054,718.0806,764.5313,658.9769,646.191,757.538,706.1349,701.3357,614.1887,708.6321,667.1623,657.0784,719.9323,708.7098
Tue Apr 05 12:02:54  2016,739.3485,633.6261,645.3268,711.8574,647.9965,671.2303,728.2692,639.2363,623.6096,699.0552,644.5397,655.3477,597.9826,679.8893,640.7752,612.6315,668.6843,645.8913
Tue Apr 05 12:17:54  2016,773.9346,643.6986,662.6295,743.7243,658.2325,681.0692,752.6047,649.4601,634.9647,733.6133,660.6857,671.8087,606.4415,699.4695,661.3859,627.2781,697.2226,678.0847
Tue Apr 05 12:32:54  2016,732.2181,650.9456,664.9399,736.2487,663.4285,684.8355,720.6738,663.4958,641.0076,726.9305,655.4919,668.6287,608.4937,679.9338,654.6495,619.1348,682.6178,657.1783
Tue Apr 05 12:48:34  2016,769.6958,649.6486,665.3732,735.1222,653.8058,679.8105,749.3715,653.5403,640.5759,717.5869,665.6392,674.6008,611.3629,700.822,670.2413,628.7595,685.2257,674.0779
Tue Apr 05 13:02:35  2016,781.9706,653.8287,675.9258,738.3445,674.7455,713.0677,772.3545,665.8065,657.2899,730.1469,688.504,691.5499,624.8583,721.2127,689.6425,645.304,700.7543,687.6899
Tue Apr 05 13:17:34  2016,791.314,650.6573,668.2625,723.4244,689.9542,732.6339,769.5481,664.6511,644.1748,714.6708,699.3904,702.8789,613.9457,709.9872,677.6177,648.9053,682.3281,675.6692
Tue Apr 05 13:32:35  2016,769.1052,695.4918,739.4386,763.4758,669.5402,701.7158,750.886,703.0474,711.3875,756.304,683.1415,692.1303,655.3705,709.696,713.4832,639.5898,726.2561,711.667
Tue Apr 05 13:48:35  2016,798.5974,702.3204,754.7088,786.5873,675.2239,699.871,774.0255,714.9854,729.1913,768.8319,686.3739,694.7874,664.5067,721.2576,709.8864,643.1884,734.3452,714.626
Tue Apr 05 14:02:35  2016,788.6877,671.053,699.0223,765.1431,667.5615,698.5633,773.8777,681.9053,678.7199,756.7454,679.5655,685.2144,631.5135,728.8539,702.3204,634.1231,713.3143,698.0382
Tue Apr 05 14:17:34  2016,822.0783,654.4497,671.3422,749.5402,659.0427,684.4899,795.9659,663.1071,642.4914,738.8742,672.1867,679.4207,613.8464,730.4626,685.3378,633.1606,702.8342,692.0857
Tue Apr 05 14:31:54  2016,785.8694,651.4223,671.9205,758.2627,681.782,723.8063,771.8088,660.7974,649.2606,744.153,688.5931,695.1224,617.7219,720.236,679.8335,646.2567,709.7177,693.8718
Tue Apr 05 14:47:55  2016,778.1667,657.4785,678.2856,732.2848,695.1224,744.74,762.0705,659.0656,649.5488,720.5944,702.6775,703.1137,614.564,708.1393,673.1774,652.4527,688.069,679.2314
Tue Apr 05 15:01:55  2016,795.5657,655.792,677.317,743.1261,659.9529,687.1432,773.7753,668.4514,654.4941,730.2368,667.8949,673.6773,622.7919,721.1565,685.9621,630.5728,694.5977,681.693
Tue Apr 05 15:16:55  2016,789.7722,645.9915,668.4958,761.6504,656.7787,691.494,768.7531,654.4941,644.6954,752.3778,672.5204,681.0579,614.4645,722.0323,696.5529,635.1741,712.0479,695.6139
Tue Apr 05 15:31:55  2016,809.8652,665.0287,687.6012,748.704,673.8219,698.7532,785.915,670.3747,657.8114,742.686,677.2941,685.9836,619.9196,725.6835,700.1848,635.7495,700.4077,687.0541
Tue Apr 05 15:47:55  2016,804.4963,669.4074,693.1579,783.5197,674.8344,704.2772,782.8479,679.4882,673.8893,770.7969,680.9131,688.7381,631.6019,732.0154,713.2814,637.6196,725.6154,706.5154
Tue Apr 05 16:01:35  2016,838.9832,702.3091,730.0125,767.6965,687.4332,715.4893,803.6481,712.3511,712.4968,752.2307,691.2039,704.2772,657.9557,734.357,718.1372,647.265,715.9828,713.3592
Tue Apr 05 16:16:36  2016,875.4361,709.0015,731.1826,781.89,742.9794,799.1117,835.2234,707.2548,698.3852,758.1154,753.8482,733.8946,643.5435,754.1656,724.7058,683.3754,716.8577,716.1286
Tue Apr 05 16:31:35  2016,848.325,715.1199,758.9203,829.5964,758.2627,805.8141,815.2881,726.6501,742.7544,814.3217,775.6739,761.061,677.6065,751.3721,745.0568,710.3896,759.0556,753.0225
Tue Apr 05 16:47:35  2016,837.4788,710.8945,748.185,786.6329,736.0908,784.8536,810.8068,718.1821,726.3578,773.7974,773.0129,750.0262,670.6638,747.5524,739.3372,705.9221,721.5264,726.1998
Tue Apr 05 17:01:35  2016,855.7256,707.9825,741.5812,806.4105,740.3399,792.2729,822.7695,711.1857,718.3279,787.1234,779.6688,746.7949,663.8734,753.4303,739.6302,707.3772,728.5384,727.9537
Tue Apr 05 17:16:36  2016,846.9674,718.0362,747.3039,808.3494,730.6755,766.8111,811.5532,723.5823,722.4141,788.1619,743.2728,737.116,662.7183,744.3231,733.3324,684.7239,726.4921,732.6339
Tue Apr 05 17:31:35  2016,834.6223,679.967,706.3817,758.7044,723.6602,777.4489,799.7764,681.5599,678.6641,745.8125,751.7897,728.3359,636.7792,736.6999,715.2208,687.7677,704.2324,710.9274
Tue Apr 05 17:47:36  2016,821.272,679.967,704.1995,773.9452,717.5755,755.0702,792.4907,675.9146,673.0216,754.3347,724.4354,716.8463,628.2957,731.5765,705.173,667.2169,703.2144,710.1992
Tue Apr 05 18:01:36  2016,855.7256,700.1288,728.2579,796.3311,728.0884,773.9452,813.6443,695.0449,695.1901,778.0862,748.7492,733.0615,643.3995,744.1763,719.1584,684.579,714.5698,717.4858
Tue Apr 05 18:16:16  2016,867.9937,720.0787,750.8294,798.8598,735.8429,785.7888,828.0158,721.1003,720.5165,786.5302,769.9562,750.6591,664.1622,751.96,737.1393,699.2338,726.537,731.5082
Tue Apr 05 18:31:16  2016,850.1359,774.5599,847.8724,807.202,789.7943,836.252,824.1179,797.3958,809.6127,790.5366,809.4397,804.9656,729.675,760.3478,764.0321,739.3589,751.7445,764.2582
Tue Apr 05 18:48:16  2016,845.1581,760.1437,849.1259,818.8535,820.9488,888.6649,824.014,780.7742,847.0137,809.4397,852.0749,817.9559,752.9892,777.7683,782.2098,770.6946,750.1279,757.187
Tue Apr 05 19:02:16  2016,838.231,777.8593,869.8616,832.7955,805.7109,879.824,828.8121,786.5537,850.3333,818.7499,850.112,810.783,757.8896,788.1854,784.6263,768.6728,759.5427,764.9956
Tue Apr 05 19:17:16  2016,850.4843,776.8236,863.037,829.9426,815.5634,878.3019,834.2176,790.012,846.4106,816.3568,849.3573,817.5071,755.9763,790.2632,784.9227,775.0255,755.8625,764.8481
Tue Apr 05 19:32:16  2016,856.0745,702.063,754.2562,818.5543,762.0357,815.6093,828.8121,703.9533,741.9195,800.245,776.4589,752.717,673.1663,773.5251,756.7121,713.8298,741.3661,749.5854
Tue Apr 05 19:32:36  2016,852.2963,705.2624,759.9964,816.0118,786.2791,832.9918,828.212,709.3374,747.6426,798.608,785.937,764.4964,677.651,772.6385,757.448,724.0421,740.4865,748.4102
Tue Apr 05 19:48:15  2016,835.5703,711.6674,770.025,799.1575,743.3179,799.6039,819.2225,718.5186,756.463,786.4274,761.401,751.688,691.2715,770.1273,757.0065,705.2394,740.588,747.9244
Tue Apr 05 20:02:16  2016,848.6732,712.2502,729.0338,774.2408,722.2449,756.5416,810.8527,695.8155,691.3161,751.247,724.2893,721.0771,648.6288,749.507,720.3706,675.7469,707.2877,714.8614
Tue Apr 05 20:17:16  2016,875.4828,736.7899,758.2294,788.1619,773.9452,814.0688,837.2243,723.7732,719.394,776.3109,777.9383,771.2854,669.4074,775.4471,750.8294,720.3474,728.2909,736.6316
Tue Apr 05 20:31:56  2016,867.4335,728.0104,746.4681,790.3881,744.6384,781.3431,828.212,709.9198,703.6625,766.2663,749.4837,744.3449,656.8459,766.5848,736.5984,696.3286,720.8414,732.0934
Tue Apr 05 20:47:56  2016,868.4955,722.459,745.7341,792.6156,756.2473,794.6959,836.322,709.483,708.4639,773.9452,764.349,761.5483,660.5974,770.1273,748.185,707.2316,724.1995,735.7529
Tue Apr 05 21:01:57  2016,863.037,723.6271,743.533,784.6027,752.2759,795.7365,826.4123,705.2624,701.7723,761.2537,769.0703,756.9831,655.1152,770.718,740.8481,709.4151,719.9658,729.1682
Tue Apr 05 21:16:56  2016,848.6732,720.1235,742.2128,790.5366,732.4761,761.2537,816.53,712.5415,699.3015,770.6946,734.818,737.1611,653.8175,764.3724,733.3774,684.7239,723.7165,736.4401
Tue Apr 05 21:31:57  2016,809.0616,693.6379,716.6227,783.5652,697.0547,724.7275,787.3409,696.9772,679.1429,761.843,706.2131,702.7222,636.5358,740.5549,705.6542,657.5444,718.462,718.1702
Tue Apr 05 21:47:56  2016,803.098,677.9849,695.5251,734.041,752.6719,774.7867,791.1996,682.7631,663.8177,704.4673,730.5293,740.3399,633.9468,744.8084,710.4575,687.3328,700.117,705.7878
Tue Apr 05 22:01:56  2016,724.3574,663.6734,686.2407,706.8959,703.1137,727.7512,720.4154,670.319,654.8712,688.0131,681.782,698.608,618.8593,696.9326,667.9623,644.6725,668.5286,663.3286
Tue Apr 05 22:16:56  2016,740.8931,725.8182,760.8803,749.2916,725.1208,769.4678,746.0276,722.897,723.043,740.3399,720.5944,730.383,672.5878,715.8488,717.5987,673.5327,721.2344,712.485
Tue Apr 05 22:31:57  2016,703.2262,644.9279,655.7365,730.2368,747.3823,773.6041,712.6872,634.4224,625.9412,711.9918,689.4632,719.5729,599.7797,669.8409,642.148,661.2518,686.6193,671.4194
Tue Apr 05 22:47:36  2016,715.4562,657.9001,681.0251,754.2894,724.2444,755.3192,718.3727,653.1409,655.0154,740.3399,685.259,713.5945,623.3112,683.7327,660.7418,660.5302,711.4205,680.2004
Tue Apr 05 22:48:16  2016,712.3958,657.1788,677.9849,753.407,731.8458,757.0851,714.5816,651.5552,652.5642,741.8061,684.9691,715.635,621.444,683.1532,660.4531,661.2518,709.9641,680.2004
Tue Apr 05 23:02:16  2016,716.331,710.6479,768.2534,750.4218,713.303,747.3823,728.0104,717.2059,711.3762,754.1424,693.0456,709.0344,664.0622,715.2657,715.703,665.2946,720.8976,702.398
